Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST005653		interaction, phenotype	cleft lip with or without cleft palate (maternal periconceptional alcohol intake interaction)
GCST005654		interaction	maternal periconceptional cigarette smoking
GCST005656		biomarker	igg glycosylation
GCST005666		biomarker	fractional excretion of metabolites
GCST005667		phenotype	central corneal thickness
GCST005668		response, biomarker	delta-5 desaturase activity, response to n3-polyunsaturated fat supplement
GCST005669		response, biomarker	delta-6 desaturase activity, response to n3-polyunsaturated fat supplement
GCST005670		biomarker	trimethyllysine
GCST005671		phenotype	cholesterol efflux capacity
GCST005672		biomarker	cholesteryl ester transfer protein levels
GCST005686		associated disease	in multiple myeloma
GCST005686		background	multiple myeloma
GCST005689		background	unexposed to adversity
GCST005690		background	exposed to adversity
GCST005706		response, biomarker	neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies)
GCST005707		response, biomarker	neutralising antibody response to interferon beta therapy in multiple sclerosis (mean antibody levels)
GCST005708		response, biomarker	neutralising antibody response to interferon beta therapy in multiple sclerosis (area under the curve for the first two years)
GCST005709		response, biomarker	neutralising antibody response to interferon beta therapy in multiple sclerosis (maximum antibody levels)
GCST005710		response, biomarker	neutralising antibody response to interferon beta therapy in multiple sclerosis (time to production)
GCST005711		biomarker	gdf15
GCST005712		biomarker	gdf15
GCST005713		phenotype	plasma neurofilament light levels
GCST005714		biomarker	cerebrospinal fluid beta-site app cleaving enzyme levels
GCST005715		phenotype	myopic maculopathy
GCST005717		phenotype	paranoia and hallucinations
GCST005719		phenotype	cognitive disorganisation
GCST005720		phenotype	parent-rated negative symptoms
GCST005723		phenotype	maternal genetic effect
GCST005727		phenotype	parent-of-origin effect
GCST005729		biomarker	vitamin d (25-hydroxy form)
GCST005746		associated disease	hepatitis B
GCST005746		background	hepatitis b infection
GCST005747		background	heavy smokers
GCST005748		phenotype	digit length ratio (right hand)
GCST005749		phenotype	digit length ratio (left hand)
GCST005750		phenotype	digit length ratio
GCST005753		response, biomarker	metformin, glycated hemoglobin levels
GCST005759		phenotype	social domain
GCST005761		biomarker	igm against phosphorylcholine
GCST005763		biomarker	glucose
GCST005770		biomarker	c-reactive protein
GCST005771		biomarker	creatinine
GCST005773		phenotype	fvc
GCST005774		phenotype	heart rate
GCST005776		biomarker	hdl
GCST005780		biomarker	triglyceride
GCST005781		biomarker	total cholesterol
GCST005782		biomarker	vitamin d (25-hydroxy form)
GCST005783		background	inflammatory bowel disease
GCST005784		background	inflammatory bowel disease
GCST005785		phenotype	calcific aortic valve stenosis
GCST005787		response, phenotype	exercise, heart rate
GCST005788		response, phenotype	recovery post exercise, heart rate
GCST005789		phenotype	resting heart rate
GCST005790		phenotype	symptom severity
GCST005791		biomarker	creatinine
GCST005792		biomarker	glomerular filtration rate
GCST005793		biomarker	uric acid
GCST005794		biomarker	blood urea nitrogen levels
GCST005795		background	femoral neck
GCST005796		phenotype	spine bmd
GCST005800		background	extremely premature birth
GCST005801		phenotype	gout vs. hyperuricemia
GCST005803		phenotype	corneal
GCST005804		side effect	taxane for breast cancer
GCST005804		treatment side effect	breast cancer - taxane (peripheral neuropathy)
GCST005806		biomarker	blood protein levels
GCST005807		background, biomarker	type 2 diabetes, haptoglobin (urinary)
GCST005808		background, biomarker	type 2 diabetes, haptoglobin (plasma)
GCST005809	C535300	phenotype	photic sneeze reflex
GCST005810		phenotype	hospital-diagnosed
GCST005811		phenotype	self-reported
GCST005812		phenotype	hip or knee, hospital-diagnosed
GCST005813		phenotype	hospital-diagnosed
GCST005814		phenotype	hospital-diagnosed
GCST005826		phenotype	sero-negative rheumatoid arthritis
GCST005827		biomarker	estrone
GCST005828		biomarker	estradiol
GCST005832		background	childhood
GCST005833		response, phenotype	ssri for mdd or openness
GCST005834		response, phenotype	ssri for mdd or openness
GCST005835		response, phenotype	ssri for mdd or neuroticism
GCST005836		response, background	ssri, conscientiouness
GCST005837		phenotype	ulcerative colitis or crohn's disease
GCST005840		phenotype	large artery
GCST005841		phenotype	small vessel ischemic stroke
GCST005842		phenotype	cardioembolic stroke
GCST005845		response, phenotype	exercise, heart rate
GCST005846		response, phenotype	recovery post exercise (10 sec), heart rate
GCST005847		response, phenotype	recovery post exercise (20 sec), heart rate
GCST005848		response, phenotype	recovery post exercise (50 sec), heart rate
GCST005849		response, phenotype	recovery post exercise (40 sec), heart rate
GCST005850		response, phenotype	recovery post exercise (30 sec), heart rate
GCST005852		phenotype	colectomy
GCST005853		background	primary sclerosing cholangitis
GCST005854		phenotype	small duct vs large duct
GCST005855		associated disease	primary sclerosing cholangitis
GCST005855		background	primary sclerosing cholangitis
GCST005856		associated disease	in primary sclerosing cholangitis
GCST005856		background	primary sclerosing cholangitis
GCST005857		background	primary sclerosing cholangitis
GCST005858		background	primary sclerosing cholangitis
GCST005859		phenotype	liver transplant-free survival
GCST005860		associated disease	primary sclerosing cholangitis
GCST005860		background	primary sclerosing cholangitis (time to event)
GCST005861		biomarker	circulating odd-numbered chain saturated fatty acid levels (c23:0)
GCST005862		biomarker	circulating odd-numbered chain saturated fatty acid levels (c19:0)
GCST005863		phenotype	age at onset
GCST005864		phenotype	late age at menarche
GCST005865		phenotype	early age at menarche
GCST005866		biomarker	circulating odd-numbered chain saturated fatty acid levels (c15:0+c17:0)
GCST005867		phenotype	age at onset
GCST005868		biomarker	circulating odd-numbered chain saturated fatty acid levels (c17:0)
GCST005869		biomarker	circulating odd-numbered chain saturated fatty acid levels (c15:0)
GCST005873		biomarker	triglyceride
GCST005874		biomarker	hdl
GCST005880		background	diabetes
GCST005881		background	diabetes
GCST005882		background	type 2 diabetes
GCST005883		background	type 2 diabetes
GCST005884		background	diabetes
GCST005885		background	type 2 diabetes
GCST005886		background	diabetes
GCST005887		background, phenotype	type 2 diabetes, late
GCST005888		background, phenotype	diabetes, late
GCST005889		background, phenotype	type 2 diabetes, early
GCST005890		background, phenotype	diabetes, early
GCST005891		background, biomarker	glomerular filtration rate in diabetes
GCST005892		background, biomarker	glomerular filtration rate in type 2 diabetes
GCST005893		background	type 2 diabetes (esrd vs. no esrd)
GCST005894		background	diabetes (esrd vs. no esrd)
GCST005895		background	type 2 diabetes
GCST005896		phenotype	non-melanoma
GCST005897		phenotype	low tan response
GCST005900		response, phenotype	er-positive, endocrine treated
GCST005900		survival stratified	ER-positive, endocrine treated
GCST005901		phenotype	er-positive
GCST005901		survival stratified	ER-positive
GCST005902		phenotype	broad
GCST005904		phenotype	probable
GCST005906		multiple disease	endometriosis
GCST005906		pleiotropy	endometriosis
GCST005909		interaction	smoking
GCST005910		interaction	smoking
GCST005911		interaction, phenotype	smoking, squamous cell lung cancer
GCST005914		biomarker	glycated hemoglobin levels
GCST005915		biomarker	fasting blood insulin
GCST005916		background, biomarker	smoking status, cotinine
GCST005917		background	chronic obstructive pulmonary disease
GCST005918		background	chronic obstructive pulmonary disease
GCST005919		background, phenotype	smokers, exhaled carbon monoxide
GCST005920		background	paternal history
GCST005921		background	family history
GCST005922		background	family history
GCST005923		background	maternal history
GCST005924		phenotype	peak cortisol < 500 nmol/l
GCST005925		response, biomarker	baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma
GCST005926		response, biomarker	peak cortisol response to low dose short synacthen test in corticosteroid treated asthma
GCST005927		phenotype	peak cortisol < 350 nmol/l
GCST005928		phenotype	refractory
GCST005933		background	non-glioblastoma
GCST005933		stratified	non-glioblastoma
GCST005934		associated disease	in head and neck cancer
GCST005934		background	head and neck cancer
GCST005935		pleiotropy	supraventricular ectopy
GCST005936		phenotype	supraventricular ectopy
GCST005937		phenotype	ventricular ectopy
GCST005938		phenotype	maximum cranial length
GCST005939		phenotype	cephalic index
GCST005940		phenotype	maximum cranial width
GCST005941		phenotype	seropositive for epstein barr virus nuclear antigen 1
GCST005942		response	igg levels, anti-epstein-barr virus viral capsid antigen (vca)
GCST005943		response	immune response, epstein-barr virus (multivariate analysis)
GCST005944		phenotype	seropositive for viral capsid antigen
GCST005945		biomarker	adamts13
GCST005949		interaction	sex
GCST005950		interaction	sex, age
GCST005952		background	age>50
GCST005953		background	age<50
GCST005954		interaction	age
GCST005955		interaction	sex, age
GCST005956			bmi adjusted
GCST005957		background	bmi adjusted, age <50
GCST005958		background	bmi adjusted, age <50
GCST005959		interaction, background	bmi adjusted, sex
GCST005960		interaction, background	bmi adjusted, sex, age
GCST005961		interaction, background	bmi adjusted, age
GCST005962		interaction, background	bmi adjusted, sex, age
GCST005963		response	igg levels, anti-epstein-barr virus nuclear antigen (ebna)
GCST005965		phenotype	normal cytogenetics
GCST005965		stratified	normal cytogenetics
GCST005966		phenotype	hyperdiploid negative
GCST005966		stratified	hyperdiploid negative
GCST005967		phenotype	philadelphia chromosome negative
GCST005967		stratified	Philadelphia chromosome negative
GCST005968		phenotype	abnormal cytogenetics
GCST005968		stratified	abnormal cytogenetics
GCST005969		background	childhood
GCST005970		background	young adulthood
GCST005970		stratified	young adulthood
GCST005971		background	adulthood
GCST005971		stratified	adulthood
GCST005974		phenotype	neutrophil count
GCST005975		phenotype	eosinophil count
GCST005977		phenotype	monocyte count
GCST005980		biomarker	bilirubin
GCST005981		biomarker	phosphorus
GCST005982		biomarker	calcium level
GCST005983		biomarker	uric acid
GCST005984		biomarker	glomerular filtration rate
GCST005985		biomarker	creatinine
GCST005986		biomarker	blood urea nitrogen levels
GCST005987		biomarker	albumin-globulin ratio
GCST005988		biomarker	alb
GCST005989		biomarker	serum total protein level
GCST005990		biomarker	serum non-albumin protein
GCST005992		phenotype	mean corpuscular hemoglobin concentration
GCST005993		phenotype	mean corpuscular hemoglobin
GCST005995		biomarker	hemoglobin
GCST005998		biomarker	gpt
GCST005999		biomarker	aspartate aminotransferase
GCST006000		biomarker	igg
GCST006001		biomarker	glycated hemoglobin levels
GCST006002		biomarker	glucose
GCST006003		biomarker	triglyceride
GCST006004		biomarker	ldl
GCST006005		biomarker	hdl
GCST006006		phenotype	ejection fraction
GCST006007		phenotype	left ventricular internal dimension in systole
GCST006008		phenotype	left ventricular internal dimension in diastole
GCST006009		phenotype	pulse pressure
GCST006010		phenotype	mean arterial pressure
GCST006011		phenotype	mean corpuscular volume
GCST006012		biomarker	c-reactive protein
GCST006013		biomarker	l lactate dehydrogenase
GCST006014		biomarker	creatine kinase
GCST006015		biomarker	fibrinogen
GCST006016		biomarker	alkaline phosphatase
GCST006017		phenotype	prothrombin time
GCST006018		phenotype	partial thromboplastin time
GCST006019		biomarker	gamma-glutamyl transferase
GCST006022		phenotype	pulse pressure
GCST006024		phenotype	e/a ratio
GCST006025		phenotype	left ventricular mass index
GCST006026		phenotype	left ventricular mass
GCST006027		phenotype	posterior wall thickness
GCST006028		phenotype	interventricular septum thickness
GCST006029		phenotype	fractional shortening
GCST006030		biomarker	chloride
GCST006031		biomarker	potassum
GCST006032		biomarker	sodium
GCST006033		phenotype	relative wall thickness
GCST006034		biomarker	total cholesterol
GCST006035		multiple disease	breast cancer
GCST006035		pleiotropy	breast cancer
GCST006037		associated disease	hepatitis C
GCST006037		background	hepatitis c infection
